3.0,	1.000000,1.000000,1.000000,1.000000,2
3.0,	1.000000,1.000000,1.000000,2.000000,3
3.0,	1.000000,1.000000,1.000000,3.000000,3
3.0,	1.000000,1.000000,1.000000,4.000000,3
3.0,	1.000000,1.000000,1.000000,5.000000,3
3.0,	1.000000,1.000000,2.000000,1.000000,3
3.0,	1.000000,1.000000,2.000000,2.000000,3
3.0,	1.000000,1.000000,2.000000,3.000000,3
3.0,	1.000000,1.000000,2.000000,4.000000,3
3.0,	1.000000,1.000000,2.000000,5.000000,3
3.0,	1.000000,1.000000,3.000000,1.000000,3
3.0,	1.000000,1.000000,3.000000,2.000000,3
3.0,	1.000000,1.000000,3.000000,3.000000,3
3.0,	1.000000,1.000000,3.000000,4.000000,3
3.0,	1.000000,1.000000,3.000000,5.000000,3
3.0,	1.000000,1.000000,4.000000,1.000000,3
3.0,	1.000000,1.000000,4.000000,2.000000,3
3.0,	1.000000,1.000000,4.000000,3.000000,3
3.0,	1.000000,1.000000,4.000000,4.000000,3
3.0,	1.000000,1.000000,4.000000,5.000000,3
3.0,	1.000000,1.000000,5.000000,1.000000,3
3.0,	1.000000,1.000000,5.000000,2.000000,3
3.0,	1.000000,1.000000,5.000000,3.000000,3
3.0,	1.000000,1.000000,5.000000,4.000000,3
3.0,	1.000000,1.000000,5.000000,5.000000,3
3.0,	1.000000,2.000000,1.000000,1.000000,1
3.0,	1.000000,2.000000,1.000000,2.000000,2
3.0,	1.000000,2.000000,1.000000,3.000000,3
3.0,	1.000000,2.000000,1.000000,4.000000,3
3.0,	1.000000,2.000000,1.000000,5.000000,3
3.0,	1.000000,2.000000,2.000000,1.000000,2
3.0,	1.000000,2.000000,2.000000,2.000000,3
3.0,	1.000000,2.000000,2.000000,3.000000,3
3.0,	1.000000,2.000000,2.000000,4.000000,3
3.0,	1.000000,2.000000,2.000000,5.000000,3
3.0,	1.000000,2.000000,3.000000,1.000000,3
3.0,	1.000000,2.000000,3.000000,2.000000,3
3.0,	1.000000,2.000000,3.000000,3.000000,3
3.0,	1.000000,2.000000,3.000000,4.000000,3
3.0,	1.000000,2.000000,3.000000,5.000000,3
3.0,	1.000000,2.000000,4.000000,1.000000,3
3.0,	1.000000,2.000000,4.000000,2.000000,3
3.0,	1.000000,2.000000,4.000000,3.000000,3
3.0,	1.000000,2.000000,4.000000,4.000000,3
3.0,	1.000000,2.000000,4.000000,5.000000,3
3.0,	1.000000,2.000000,5.000000,1.000000,3
3.0,	1.000000,2.000000,5.000000,2.000000,3
3.0,	1.000000,2.000000,5.000000,3.000000,3
3.0,	1.000000,2.000000,5.000000,4.000000,3
3.0,	1.000000,2.000000,5.000000,5.000000,3
3.0,	1.000000,3.000000,1.000000,1.000000,1
3.0,	1.000000,3.000000,1.000000,2.000000,1
3.0,	1.000000,3.000000,1.000000,3.000000,2
3.0,	1.000000,3.000000,1.000000,4.000000,3
3.0,	1.000000,3.000000,1.000000,5.000000,3
3.0,	1.000000,3.000000,2.000000,1.000000,1
3.0,	1.000000,3.000000,2.000000,2.000000,3
3.0,	1.000000,3.000000,2.000000,3.000000,3
3.0,	1.000000,3.000000,2.000000,4.000000,3
3.0,	1.000000,3.000000,2.000000,5.000000,3
3.0,	1.000000,3.000000,3.000000,1.000000,2
3.0,	1.000000,3.000000,3.000000,2.000000,3
3.0,	1.000000,3.000000,3.000000,3.000000,3
3.0,	1.000000,3.000000,3.000000,4.000000,3
