15,15
13,9,1,1,1,3,1,3,1,3,1,1,1,1,5
12,12,8,4,10,1,2,3,2,3,6,10,4,12,12
12,12,12,12,9,2,3,3,1,3,7,9,4,12,12
12,8,6,12,8,3,3,3,0,3,7,8,4,12,12
12,8,21,12,10,3,1,3,0,3,7,8,6,12,12
12,12,12,12,9,3,2,3,2,3,5,8,3,0,4
12,10,2,2,2,3,3,1,3,3,2,2,3,2,6
12,11,3,3,3,3,3,2,3,1,7,9,7,9,5
12,9,1,1,3,3,3,3,1,2,3,0,3,2,36
12,10,2,2,3,3,3,3,2,3,7,10,3,1,6
12,13,9,1,1,1,1,1,3,3,1,1,5,8,5
12,12,8,0,2,2,2,2,3,3,6,8,2,2,6
12,8,2,2,3,3,3,3,1,3,7,8,5,9,5
8,0,3,1,3,3,3,1,2,3,7,12,12,12,12
10,2,3,2,3,3,3,2,3,3,3,2,2,2,6
